teryt;JPT_NAZWA;Szkołapodstawowa10_2023;czniowiena1000miesz;bezrobocie;Miasto_prawa_powiatu;uczniowie_ukraina_porownanie_powiat_wojew;Szkołapodstawowa02_2022;Ukraina_suma_02_2022;uczniowie_ukraina_porownanie_powiat_na1000mieszk2022;ROZNICE_2023_2022_SP;Szkołapodstawowa09_2022;Suma09_2022;ROZNICE_09_03_2022_SP;ROZNICE_09_03_2022_ALL;Suma_10_2023;ROZNICE_uczniowie_roznice_ogolem_04_09;WSZYSCY_UCZNIOWIE;cena_m2@2021;cena_m2@2022;dynamika_m2;klastry_bez_dynamika;klastry_bez_uczniowie_mieszkania;QCL_2;QCL_1;ROZNICE_2023_2022_SP_RELATIVE;ROZNICE_09_03_202_SP_RELATIVE;UCZNIOWIE_SP_JAKO_PROCENT_2022;UCZNIOWIE_SP_JAKO_PROCENT_2023;UCZNIOWIE_SP_JAKO_PROCENT_ROZNICA;Uchodzcy_roczniki_sp_04_2022;PROCENT_UCZNIOW_WG_UCHODZCOW_04_2022;ZPROCENT_UCZNIOW_WG_UCHODZCOW_04_2022;miast_prawa_powiat_rekod;Rbezrobo;Rdynamik;Rczniowi;suma_rang_B_SZ_Dyna;Wszyscy_ukraina_04_2022;proc_wiek_sp_uchodzcy_04_2022;Uchodzcy_roczniki_sp_09_2022;PROCENT_UCZNIOW_WG_UCHODZCOW_09_2022;Wszyscy_ukraina_09_2022;proc_wiek_sp_uchodzcy_09_2022;Uchodzcy_roczniki_sp_10_2023;PROCENT_UCZNIOW_WG_UCHODZCOW_10_2023;Wszyscy_ukraina_10_2023;proc_wiek_sp_uchodzcy_10_2023;Uczniowie_sp_04_2022_altern;Uczniowie_JEZYK_sp_04_2022_altern;procent_jezyk_04_2022;niezogdnosc_danych_SP_04_2022;niezogdnosc_danych_procent_04_2022;Uczniowie_sp_10_2022_altern;Uczniowie_Jezyk_sp_04_2022;procent
3062;powiat Konin;267;3.920014094;5.9;PRAWDA;30;200;296;2.936340146;67;303;486;103;190;498;190;5822;4192;5089;21.39790076;2;2;4;5;1.15080728272071;1.76915149433184;67.5675675675676;53.6144578313253;-13.9531097362423;247;80.9716599190283;1.30907019321904;1;171;274;324;769;996;24.7991967871486;351;86.3247863247863;1521;23.0769230769231;271;98.5239852398524;1232;21.9967532467532;241;152;63.0705394190871;41;17.0124481327801;303;193;63.6963696369637
3063;powiat Leszno;413;6.810461396;2.8;PRAWDA;30;282;410;4.650242406;131;429;625;147;215;654;215;6018;5013;6043;20.54657889;2;2;4;5;2.17680292455965;2.44267198404786;68.780487804878;63.1498470948012;-5.63064071007683;317;88.9589905362776;1.66502804815342;1;36;263;375;674;1272;24.9213836477987;479;89.5615866388309;2544;18.8286163522013;387;106.71834625323;2185;17.7116704805492;301;214;71.0963455149502;19;6.31229235880399;429;215;50.1165501165501
3064;powiat Poznań;3458;6.388135581;1;PRAWDA;30;2991;4200;5.525423228;467;3453;5430;462;1230;6292;1230;45770;8188;9450;15.41279922;2;1;4;3;1.02031898623553;1.00939480008739;71.2142857142857;54.9586776859504;-16.2556080283353;4892;61.1406377759607;.425294568862354;1;1.5;199;370;570.5;20986;23.3107786143143;6717;51.4068780705672;33588;19.9982136477313;4748;72.8306655433867;24195;19.6238892333127;3210;1287;40.0934579439252;219;6.82242990654206;3453;1179;34.1442224152911
3201;powiat białogardzki;107;2.389939916;16.3;FAŁSZ;32;144;191;3.216367738;-37;141;217;-3;26;172;26;3510;3226;3624;12.33725976;2;5;4;2;-1.05413105413105;-.0854700854700855;75.3926701570681;62.2093023255814;-13.1833678314867;215;66.9767441860465;.685382452844099;0;369;145;244;758;846;25.4137115839243;263;53.6121673003802;1179;22.3070398642918;204;52.4509803921569;872;23.394495412844;161;139;86.3354037267081;17;10.5590062111801;141;50;35.4609929078014
3202;powiat choszczeński;57;1.271810433;15.4;FAŁSZ;32;74;94;1.651122317;-17;72;108;-2;14;89;14;3447;3229;3285;1.73428306;2;5;4;2;-.493182477516681;-.058021467943139;78.7234042553192;64.0449438202247;-14.6784604350944;185;40;-.51684448049973;0;363;44;113;520;719;25.7301808066759;204;35.2941176470588;839;24.3146603098927;137;41.6058394160584;533;25.703564727955;79;0;0;5;6.32911392405063;72;52;72.2222222222222
3203;powiat drawski;47;.871015567;11.7;FAŁSZ;32;111;156;2.057079318;-64;77;127;-34;-29;83;-29;4197;3037;3555;17.05630556;2;5;4;2;-1.52489873719323;-.810102454133905;71.1538461538462;56.6265060240964;-14.5273401297498;203;54.679802955665;.137365470403439;0;328.5;221;66;615.5;818;24.8166259168704;214;35.981308411215;917;23.3369683751363;128;36.71875;527;24.2884250474383;131;82;62.5954198473283;20;15.2671755725191;77;52;67.5324675324675
3204;powiat goleniowski;339;4.160223842;3.4;FAŁSZ;32;421;537;5.166531674;-82;426;565;5;28;464;28;7010;5139;4901;-4.631251216;3;5;4;2;-1.169757489301;.0713266761768902;78.3985102420857;73.0603448275862;-5.33816541449946;682;61.7302052785924;.451568826637858;0;57.5;12;333;402.5;2655;25.6873822975518;873;48.7972508591065;3836;22.7580813347237;635;53.3858267716535;2900;21.8965517241379;428;221;51.6355140186916;7;1.63551401869159;426;137;32.1596244131455
3205;powiat gryficki;121;2.124260459;7.4;FAŁSZ;32;236;272;4.143185688;-115;154;198;-82;-74;156;-74;4488;3617;8759;142.1620127;4;5;4;2;-2.56238859180036;-1.8270944741533;86.7647058823529;77.5641025641026;-9.20060331825037;384;61.4583333333333;.439452769460726;0;226.5;380;214;820.5;1493;25.7200267916946;507;30.3747534516765;2620;19.3511450381679;358;33.7988826815642;1720;20.8139534883721;237;72;30.379746835443;1;.421940928270042;154;44;28.5714285714286
3206;powiat gryfiński;171;2.204545748;6.9;FAŁSZ;32;216;299;2.784689365;-45;236;343;20;44;249;44;6051;3113;4086;31.25602313;2;5;4;2;-.743678730788299;.330523880350355;72.2408026755853;68.6746987951807;-3.56610388040457;653;33.0781010719755;-.825321043266677;0;204.5;335;221;760.5;2454;26.6096169519152;762;30.9711286089239;2985;25.5276381909548;528;32.3863636363636;1923;27.4570982839314;258;98;37.984496124031;42;16.2790697674419;236;115;48.728813559322
3207;powiat kamieński;180;4.049584918;14.1;FAŁSZ;32;270;303;6.074377376;-90;239;285;-31;-18;251;-18;3087;12154;9540;-21.50732269;3;5;3;2;-2.91545189504373;-1.00421120829284;89.1089108910891;71.7131474103586;-17.3957634807305;537;50.2793296089386;-.0587429828780592;0;352.5;6;329;687.5;2163;24.8266296809986;693;34.4877344877345;3341;20.7422927267285;458;39.3013100436681;2043;22.4180127263828;282;187;66.3120567375886;12;4.25531914893617;239;114;47.6987447698745
